dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,dense_only,en,negation,exclusion_clean_at_k,0.6,0.6,0.0,2,2,2,0,0
hard_queries,dense_only,en,paired_multi_tissue,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,dense_only,en,paired_multi_tissue,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,dense_only,ko,ALL,facet_present_macro,0.7568027210884354,1.0,0.31669205711576465,49,49,49,0,0
hard_queries,dense_only,ko,ALL,facet_conjunctive_macro,0.7363945578231293,1.0,0.3182590373354167,49,49,49,0,0
hard_queries,dense_only,ko,ALL,exclusion_clean_at_k,0.9,1.0,0.1414213562373095,11,49,49,0,0
hard_queries,dense_only,ko,abbrev_ambiguous,facet_present_macro,0.6388888888888888,0.6666666666666666,0.3390709893259362,6,6,6,0,0
hard_queries,dense_only,ko,abbrev_ambiguous,facet_conjunctive_macro,0.6388888888888888,0.6666666666666666,0.3390709893259362,6,6,6,0,0
hard_queries,dense_only,ko,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,dense_only,ko,abbrev_standard,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,dense_only,ko,abbrev_standard,facet_conjunctive_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,dense_only,ko,abbrev_tcga,facet_present_macro,0.7333333333333333,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,dense_only,ko,abbrev_tcga,facet_conjunctive_macro,0.7333333333333333,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,dense_only,ko,abbrev_tcga,exclusion_clean_at_k,1.0,1.0,0.0,1,5,5,0,0
hard_queries,dense_only,ko,cardinality_and,facet_present_macro,0.6944444444444445,0.75,0.3105649968749708,6,6,6,0,0
hard_queries,dense_only,ko,cardinality_and,facet_conjunctive_macro,0.6944444444444445,0.75,0.3105649968749708,6,6,6,0,0
hard_queries,dense_only,ko,celltype_x_tissue,facet_present_macro,0.375,0.375,0.125,2,2,2,0,0
hard_queries,dense_only,ko,celltype_x_tissue,facet_conjunctive_macro,0.375,0.375,0.125,2,2,2,0,0
hard_queries,dense_only,ko,dose_response,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,ko,dose_response,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,ko,dual_disease,facet_present_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,dense_only,ko,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,dense_only,ko,exclusion_extended,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,dense_only,ko,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,dense_only,ko,exclusion_extended,exclusion_clean_at_k,0.8833333333333333,1.0,0.16749792701868152,6,6,6,0,0
hard_queries,dense_only,ko,lessons_wildcard,facet_present_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
hard_queries,dense_only,ko,lessons_wildcard,facet_conjunctive_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
